Lab,Number Positives
SUNCOAST COMMUNITY HEALTH CENTERS PEDIATRICS,4
MAGNOLIA DIAGNOSTIC,4
BAYCARE LABORATORIES,4
ROCKLEDGE,4
NORTH OKALOOSA MEDICAL CENTER,4
OKLAHOMA STATE UNIVERSITY DIAGNOSTIC LAB,4
INTERMARKET FACILITY,4
COMMUNITY HEALTH OF SOUTH FLORIDA,4
TRUGENX,4
EXPRESS TESTING-ONE,4
SOUTHEAST FAMILY HEALTHCARE CENTER,4
QUEST DIAGNOSTICS- MELBOURNE,4
BOCA BIOLISTICS REFERENCE LABORATORY,4
GENUS DIAGNOSTICS,3
QUEST DIAGNOSTIC,3
FLORIDA CLINICAL LAB,3
DOH-TAMPA BRANCH LABORATORY (MLK BLVD),3
ASCENSION ST. VINCENT'S PRIMARY CARE,3
FAMILY HEALTH CENTERS OF SWF LABS,3
VA OUTPATIENT,3
BRANCH MEDICAL CLINIC,3
JACKSON SOUTH COMMUNITY HOSPITAL LAB,3
FISHERMEN'S HOSPITAL,3
EMERGENCY MEDICAL CENTER,3
CENTRAL FLORIDA HEALTH CARE INC,3
PENNSYLVANIA DEPARTMENT OF HEALTH BUREAU OF LABORATORIES,3
GULF COAST MEDICAL GROUP,3
ARCPOINT LABS OF TAMPA,3
"RDX BIOSCIENCE,",3
GULF COAST MOLECULAR LABORATORIES,3
"SELECT LABORATORIES MARION COUNTY, LLC.",3
ACH,3
PALMS WEST HOSPITAL,3
NORTH BROWARD HOSPITAL  DISTRICT HEALTHCARE FOR THE HOMELESS,3
VIRGINIA DIVISION OF CONSOLIDATED LABORATORIES,3
OPTUM LABS LLC,3
LAKE WALES MEDICAL CENTER INC,3
BAYFRONT HEALTH SPRING HILL,3
LAKE CITY VETERANS HOSPITAL,3
POARCH BANC CREEK INDIANS TRIBAL HEALTH DEPARTMENT,3
UNKNOWN LAB,3
ILLINOIS DEPARTMENT OF PUBLIC HEALTH,3
TYNDALL AFB,3
TIMBER RIDGE LABORATORY,3
DOCTOR'S MEMORIAL HOSPITAL,3
MOLECULAR DIAGNOSTICS,3
BEAUMONT LABORATORY,3
BAYONET POINT MEDICAL CENTER,3
LABORATORY OF FLORIDA,3
LEE MEMORIAL HEALTH PARK LAB,3
TAMPA GENERAL HOSPITAL LABORATORY,3
FLORIDA MEDICAL CLINIC,3
ABBOTT,3
BAYCARE OUTREACH LABORATORY HOSPITAL,3
CLINICORE,3
WINTER HAVEN HOSPITAL,3
BIO-TECH CLINICAL LABORATORIES,2
KEY PRIMARY CASE,2
ADVANCED MEDICAL CARE,2
PHAROS HEALTH,2
BAY CARE,2
GENESIS LABORATORY MANAGEMENT,2
PRECISION HEALTH SOLUTIONS LAB,2
SCDHEC BUREAU OF LABORATORIES,2
HOME ACCESS HEALTH,2
DORAL URGENT CARE,2
CALHOUN LIBERTY HOSPITAL,2
COLLIER COUNTY HEALTH DEPT.,2
OMNI,2
SARASOTA MEMORIAL MEDICAL URGENT CARE CENTER,2
Cleveland Clinic Weston,2
FLORIDA DEPARTMENT OF HEALTH IN HILLSBOROUGH COUNTY,2
INTERNAL MEDICINE ASSOCIATES-DUNELLON,2
NOVANT HEALTH INPATIENT CARE,2
QUEST DIAGNOSTICS-N ST PETERSBURG-5TH,2
SIGNATURE CARE PFLUGERVILLE,2
IOWA DEPARTMENT OF PUBLIC HEALTH,2
FLORIDA CLINICAL LABORATORY INC,2
MARINER'S HOSPITAL,2
CORAL GABLES HOSPITAL,2
CONNECTDX,2
QUEST DIAGNOSITCS INCORPORATED,2
LABCORP PHOENIX,2
OHIO STATE UNIVERSITY WEXNER MEDICAL CENTER,2
ALABAMA DEPARTMENT OF PUBLIC HEALTH,2
TREASURE COAST COMMUNITY HEALTH,2
MAYO,2
JOHN D. ARCHBOLD MEM. HOSPITAL,2
X-GENE MOLECULAR LABS,2
FCHC (OB)-DARWIN SQUARE CTR.,2
OKLAHOMA STATE DEPARTMENT OF HEALTH-PUBLIC HEALTH LABORATORY,2
NORTH FLORIDA/SOUTH GEORGA VETERANS HEALTH SYSTEM,2
ALTRU DIAGNOSTICS INC,2
VIRTUA MEMORIAL HOSPITAL BURLINGTON COUNTY,2
ST. MARYS MEDICAL CENTER,2
FLORIDA WOMAN CARE LABORATORY,2
ADVENT HEALTH SEBRING,2
MONTANA PUBLIC HEALTH LAB,2
CELERION,2
LABCORP - OHIO,2
BAYFRONT HEALTH PUNTA GORDA,2
UNIVERSITY HOSPITAL,2
ST. JOSEPH REGIONAL MEDICAL CENTER,2
AMERICAN FAMILY CARE- ORANGE BEACH,2
KETTERING HEALTH,2
GEORGIA DEPARTMENT OF PUBLIC HEALTH,2
URGENT CARE TCMA,2
AMMON LABS,2
PPD,2
DEACONESS HOSPITAL,2
"PREMIER LABORATORY SERVICES, LLC",2
"NAPHCARE, INC.",2
BETH ISRAEL DEACONESS MEDICAL CENTER,2
SHELBY BAPTIST MEDICAL CENTER,2
AMEERAH LABS,2
UC CORAL GABLES,2
MARYLAND DEPARTMENT OF HEALTH AND MENTAL HYGIENE,1
WILMINGTON VA MEDICAL CENTER,1
VITAE DIAGNOSTICS,1
UC SAN DIEGO HEALTH,1
AFFILIATED LABORATORIES INC,1
Viracor Eurofins,1
VIDANT MEDICAL CENTER,1
CFCH - FROSTPROOF,1
AIM LABORATORIES,1
BIODORON LABORATORIES,1
CELEBRATION HOSPITAL,1
WEST VIRGINIA UNIVERSITY HOSPITALS,1
WEST PACIFIC MEDICAL LABORATORY,1
MARINA DEL REY HOSPITAL LAB,1
UNIVERSITY OF MIAMI,1
VA HOSPITAL,1
VA GREATER LOS ANGELES HEALTH CARE SYSTEM,1
ARNOLD PALMER HOSPITAL LABORATORY,1
UNK,1
UT MEMPHIS UNIVERSITY HEALTH SERVICES,1
CALIFORNIA PUBLIC HEALTH LABORATORY,1
THOMAS LANGLEY,1
US LABORATORIES,1
VRL EUROFINS,1
WELLINGTON WEST 100176,1
UNIVERSITY OF FLORIDA,1
UNIVERSITY OF KANSAS MEDICAL CENTER,1
ADVENTIST HINSDALE HOSPITAL LABORATORY,1
Mt Sinai Aventura,1
WASHINGTON STATE DEPARTMENT OF HEALTH PUBLIC HEALTH LABORATORIES,1
TRINITAS REGIONAL MEDICAL CENTER,1
BAYFRONT HEALTH PORT CHARLOTTE,1
SCIENCE CARE,1
COASTAL LABORATORIES,1
COMPUNET CLINICAL LAB,1
COLORADO DEPARTMENT OF HEALTH LABORATORY SERVICES DIVISION,1
LABCORP - HOLLYWOOD,1
UNITED HEALTHCARE,1
ORMOND BEACH CENTRA CARE,1
PARKWAY REGIONAL MEDICAL CENTER  LAB,1
BAYCARE MEDICAL GROUP,1
SOUTH GEORGIA MEDICAL CENTER,1
OHIO DEPARTMENT OF HEALTH,1
FLORIDA HOSPITAL ALTAMONTE,1
TALLAHASSEE MEMORIAL HOSPITAL/MICROBIOLOGY LAB,1
HARDIN MEMORIAL HOSPITAL - HEARTLAND PATHOLOGY CONSULTANTS,1
SHANDS AT LAKE SHORE LAB,1
BARDMOOR  LABORATORY,1
MEMORIAL HEALTH UNIVERSITY MEDICAL CENTER,1
SUNY AT STONY BROOK,1
WATAUGA MEDICAL CENTER,1
Covance Central Laboratory,1
MD NOW URGENT CARE CENTER INC.,1
XPRESS WELLNESS URGENT CARE,1
JOHNS HOPKINS MEDICAL LABORATORIES,1
LEGACY LABORATORY SERVICES,1
LABCORP KANSAS CITY,1
SACRED HEART MEDICAL GROUP,1
ATLANTIS URGENT CARE,1
UNIVERSITY OF MISSOURI HEALTH CARE,1
ALVERNO CLINICAL LABORATORIES,1
PROGENESIS INC,1
ALLIANCE LABS @LRMC,1
INTERMOUNTAIN CENTRAL LAB,1
SPARROW CENTRAL LAB,1
UTMB PATHOLOGY CLINICAL SERVICES LABORATORY,1
HOUSTON HEALTH DEPARTMENT - BUREAU OF LABORATORY SERVICES,1
VIRACOR,1
MID FLORIDA CLINICAL LABORATORY,1
BAYCARE ALLIANT HOSPITAL,1
BAYCARE OUTREACH LAB,1
CAROLINAS HEALTHCARE SYSTEM LAB,1
AMERICAN MEDICAL LABORATORIES,1
ACCESS HEALTH CARE PHYSICIANS,1
AFC URGENT CARE,1
NAVAL HOSPITAL OF JACKSONVILLE,1
UW HOSPITAL AND CLINICS,1
DELAWARE DIAGNOSTICS LABS,1
CBC LAB,1
MALABAR/ADVENT CENTRA CARE,1
BLOOD SYSTEMS LABORATORIES,1
WOLFSON (USE BAPTIST),1
YORK HOSPITAL - LABORATORY,1
TIMPANOGOS REGIONAL HOSPITAL,1
UAB,1
GRAND VIEW HOSPITAL,1
TAMIAMI LAB MILLENIUM,1
GENETRAIT LABORATORIES,1
FLORIDA HOSPITAL,1
AMD,1
"MAGNOLIA ADULT, LLC",1
LATE HOURS URGENT CARE,1
BAPTIST ER TOWN CTR,1
LABCORP-CRYSTAL RIVER,1
NORTH NAPLES HOSPITAL RESPIRATORY THERAPY DEPARTMENT,1
Lourdes Hospital,1
INTERMOUNTAIN MEDICAL CENTER,1
HEALTH FIRST IBM-UX,1
STANLY REGIONAL MEDICAL CENTER,1
SENTARA NORFOLK GENERAL HOSPITAL CENTRAL LAB,1
MEDICAL CENTER ENTERPRISE,1
MARION COUNTY HEALTH DEPARTMENT,1
FLORIDA HOSPITAL KISSIMMEE,1
MIAMI CANCER INSTITUTE,1
UCLA HEALTHCARE CLINICAL LABS,1
WUESTHOFF MEMORIAL HOSPITAL,1
LAKEWOOD RANCH ER 24/7,1
LEGACY LABORATORY,1
FLORIDA HEALTH CARE PLANS,1
PRISMA HEALTH TUOMEY LABORATORY,1
NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSPITAL LAB,1
HIGHLANDS CLINICAL LABORATORY,1
PEDIATRIC HEALTHCARE ALLIANCE,1
PERDIDO URGENT CARE,1
QUEST - HOUSTON LAB,1
SOUTHWEST REGIONAL PCR LABORATORY,1
REDITUS LABORATORIES,1
NORTH RIVER FAMILY HEALTH CENTER,1
"NORTH CAROLINA STATE LABORATORY OF PUBLIC HEALTH, SPECTRUM LAB NETWORK",1
FLORIDA DEPARTMENT OF HEALTH PALM BEACH COUNTY,1
SMITH KLINE,1
SCIONLAB SERVICES LLC,1
DSI LABORATORIES-NAPLES-7TH,1
KEYS MEDICAL GROUP,1
SONIC REFERENCE LABORATORY,1
LAB CORP PHOENIX,1
SUNY UPSTATE MEDICAL UNIVERSITY,1
FLORIDA CLINICAL LABORATORY - BIOREFERENCE LABORATORIES,1
SPRING HILL REGIONAL HOSPITAL,1
COVENIENT CARE MEDICAL CLINIC,1
KANSAS DEPARTMENT OF HEALTH,1
JOHNS HOPKINS MEDICAL LABS,1
NEW YORK STATE ELR - MONTEFIORE MEDICAL CENTER LABORATORIES - WEILER,1
NORTHSIDE HOSPITAL DULUTH,1
OHIO STATE UNIVERSITY MEDICAL CENTER,1
NORTHWEST FL COMM HOSP,1
EDGAR PRICE FAMILY & CHILDREN HEALTHCARE CENTER,1
AZALEA HEALTH,1
THE HEART HOSPITAL BAYLOR PLANO,1
TIEHH BIOTERRORISM RESPONSE LAB,1
TEXAS DEPARTMENT OF STATE HEALTH SERVICES,1
State Lab Unspecifd,1
BAY CARE LAB SERVICES/ST. ANTHONY'S HOSPITAL,1
UNITED CLINICAL LABORATORIES,1
ACCESS HEALTH CARE,1
URGENT CARE WEST CLINIC,1
RIVIERA BEACH HEALTH CENTER LAB,1
CAROMONT HEALTH,1
HEART OF FLORIDA HMA,1
PRORENATA LABS,1
ROBERT WOOD JOHNSON HOSPITAL,1
ST FRANCIS,1
BAYCARE MEDICAL GROUP INC,1
SOUTHEAST GEORGIA HEALTH SYSTEM,1
SKY RIDGE MEDICAL CENTER - MICRO,1
DALLAS MEDICAL CENTER,1
SHARP MEMORIAL HOSPITAL MICROBIOLOGY DEPT,1
DUKE HEALTH REGIONAL HOSPITAL,1
DOCS URGENT CARE,1
FALMOUTH BY THE SEA,1
"CQUENTIA NGS, LLC",1
UNIVERSITY LAB,1
WILLIAM A HINTON STATE LABORATORY INSTITUTE,1
TUFTS MEDICAL CENTER,1
CHATSWORTH ASSISTED LIVING COMMUNITY AT PGA NATIONAL,1
PHYSICIANS  STAT,1
EXCEL URGENT CARE OF NJ,1
CLEVELAND CLINIC OHIO LABORATORIES,1
DHEC - S.C PUBLIC HEALTH LAB,1
PIEDMONT HOSPITAL LAB,1
RICHMOND UNIVERSITY MEDICAL CENTER,1
RIVERSIDE METHODIST HOSPITAL LAB,1
KETTERING MEDICAL CENTER,1
QUEST DIAGNOSTIC INC TECHINICAL,1
Total,5885
